feature,mean_rmse_increase_when_shuffled,mean_mae_increase_when_shuffled,mean_r2_drop_when_shuffled
predicted_fair_price,0.0002862497968334654,0.00045054861684059173,0.0018088138974317936
price_gap_abs,3.911349845301948e-05,0.000202812953298169,0.0002467855671879571
price_gap_pct,1.3416850227848665e-06,0.00011981397575582392,8.545859541020384e-06
overpriced_flag,-1.0854522551617674e-07,1.8816614436936718e-06,-6.842720919442158e-07
underpriced_flag,-7.143509350782118e-06,-5.398713598128713e-06,-4.504406606351541e-05
