feature,mean_rmse_increase_when_shuffled,mean_mae_increase_when_shuffled,mean_r2_drop_when_shuffled
predicted_fair_price,0.00021735831979773356,0.0003437959406998148,0.0013689363892148477
price_gap_pct,5.778387139497854e-05,0.000125648301121839,0.0003637131396479587
price_gap_abs,5.6811181992288964e-05,0.0002796191712875054,0.0003576730693645613
overpriced_flag,-1.2382821248102526e-07,-1.443629113487277e-07,-7.788066219704959e-07
underpriced_flag,-2.627699189305943e-06,-2.244145797034025e-06,-1.652646730121443e-05
