fold,holdout_rows,fair_price_r2,fair_price_rmse,fair_price_mae,chosen_blend_strategy
1,2668,0.6668657442871613,41.68843285762671,28.190387966750855,"{'strategy': 'segment_specific_weight', 'weight_scope': 'predicted_segment', 'weight_normal': np.float64(0.55), 'weight_luxury': np.float64(0.9), 'r2': 0.665905782190163, 'rmse': 41.62514417376786, 'mae': 27.87784210333806, 'mape': 0.19908734517722537, 'residual_mean': -1.5340272926451755, 'residual_std': 41.596867523316945}"
2,2668,0.6847136784349562,41.94114325558031,28.267649877033527,"{'strategy': 'bucket_specific_weight', 'weight_scope': 'predicted_price_bucket_from_baseline', 'global_fallback_weight': 0.33, 'r2': 0.6564625446755847, 'rmse': 44.16001221885718, 'mae': 28.7588521880961, 'mape': 0.1971373910712778, 'residual_mean': -4.3384480342068255, 'residual_std': 43.94638264776866}"
3,2668,0.6549472706297064,42.210432627521556,28.945689529405012,"{'strategy': 'bucket_specific_weight', 'weight_scope': 'predicted_price_bucket_from_baseline', 'global_fallback_weight': 0.74, 'r2': 0.6571075541204261, 'rmse': 45.15635648783359, 'mae': 30.562271628914367, 'mape': 0.20984659916133894, 'residual_mean': -3.358538855799658, 'residual_std': 45.031286324181266}"
